0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/discussionEditor.js?ox=5.8 HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/d3.js?ox=5.8 HTTP/1.1" 200 151125
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/fusioncharts.charts.js?ox=5.8 HTTP/1.1" 200 128630
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/ckeditor.js?ox=5.8 HTTP/1.1" 200 565399
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/fusioncharts.theme.fint.js?ox=5.8 HTTP/1.1" 200 5718
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/htmlEditor.js?ox=5.8 HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/fusioncharts.widgets.js?ox=5.8 HTTP/1.1" 200 241501
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/jquery-ckeditor-adapter.js?ox=5.8 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/textEditor.js?ox=5.8 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/xava/editors/js/fusioncharts.js?ox=5.8 HTTP/1.1" 200 1007816
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/images/corner.png HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/images/processing.gif HTTP/1.1" 200 13478
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/xava/editors/js/yahoo-treeview-min.js?ox=5.8 HTTP/1.1" 200 34313
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/xava/editors/js/yahoo-dom-event.js?ox=5.8 HTTP/1.1" 200 36989
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/images/point3.png HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/images/loading.gif HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/images/point2.png HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/images/point1.png HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/js/naviox.js?ox=5.8 HTTP/1.1" 200 4224
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:41 -0400] "GET /Afrodita/xava/fonts/materialdesignicons-webfont.woff?v=1.9.32 HTTP/1.1" 200 135276
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:41 -0400] "POST /Afrodita/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:43 -0400] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:47 -0400] "POST /Afrodita/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:48 -0400] "GET /Afrodita/ HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:49 -0400] "GET /Afrodita/dwr/interface/Modules.js?ox=5.8 HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:49 -0400] "GET /Afrodita/dwr/interface/Folders.js?ox=5.8 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:49 -0400] "GET /Afrodita/dwr/util.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:49 -0400] "GET /Afrodita/dwr/interface/Module.js?ox=5.8 HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:49 -0400] "GET /Afrodita/dwr/interface/Tab.js?ox=5.8 HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:49 -0400] "GET /Afrodita/dwr/interface/View.js?ox=5.8 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:49 -0400] "GET /Afrodita/naviox/images/bookmark-off.png HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:50 -0400] "GET /Afrodita/m/Origen HTTP/1.1" 200 42083
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:50 -0400] "GET /Afrodita/xava/style/smoothness/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:50 -0400] "POST /Afrodita/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:52 -0400] "GET /Afrodita/naviox/images/search.png HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:56 -0400] "GET /Afrodita/dwr/interface/Folders.js?ox=5.8 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:56 -0400] "GET /Afrodita/dwr/interface/Modules.js?ox=5.8 HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:56 -0400] "GET /Afrodita/dwr/util.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:56 -0400] "GET /Afrodita/dwr/interface/Module.js?ox=5.8 HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:56 -0400] "GET /Afrodita/dwr/interface/View.js?ox=5.8 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:56 -0400] "GET /Afrodita/dwr/interface/Tab.js?ox=5.8 HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:56 -0400] "GET /Afrodita/m/Registro HTTP/1.1" 200 78994
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:56 -0400] "POST /Afrodita/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1416
