0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:09 -0400] "GET /Afrodita/xava/editors/js/yahoo-dom-event.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:09 -0400] "GET /Afrodita/xava/editors/js/yahoo-treeview-min.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:09 -0400] "GET /Afrodita/naviox/js/naviox.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:09 -0400] "GET /Afrodita/naviox/images/corner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:09 -0400] "GET /Afrodita/naviox/images/processing.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:10 -0400] "GET /Afrodita/naviox/images/point1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:10 -0400] "GET /Afrodita/naviox/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:10 -0400] "GET /Afrodita/naviox/images/point2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:10 -0400] "GET /Afrodita/naviox/images/point3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:10 -0400] "GET /Afrodita/xava/fonts/materialdesignicons-webfont.woff?v=1.9.32 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:10 -0400] "POST /Afrodita/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:10 -0400] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:14 -0400] "POST /Afrodita/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:14 -0400] "GET /Afrodita/ HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:15 -0400] "GET /Afrodita/dwr/interface/Modules.js?ox=5.8 HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:15 -0400] "GET /Afrodita/dwr/interface/Folders.js?ox=5.8 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:15 -0400] "GET /Afrodita/dwr/util.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:15 -0400] "GET /Afrodita/dwr/interface/Module.js?ox=5.8 HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:15 -0400] "GET /Afrodita/dwr/interface/Tab.js?ox=5.8 HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:15 -0400] "GET /Afrodita/dwr/interface/View.js?ox=5.8 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:15 -0400] "GET /Afrodita/naviox/images/bookmark-off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:16 -0400] "GET /Afrodita/m/Registro HTTP/1.1" 200 137902
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:16 -0400] "GET /Afrodita/xava/style/liferay51/images/application/handle_vertical.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:52:16 -0400] "POST /Afrodita/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1416
