0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:23 -0400] "GET /Afrodita/xava/editors/js/c3.js?ox=5.8 HTTP/1.1" 200 138210
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:23 -0400] "GET /Afrodita/xava/editors/js/chartDataEditor.js?ox=5.8 HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:23 -0400] "GET /Afrodita/xava/editors/js/d3.js?ox=5.8 HTTP/1.1" 200 151125
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:23 -0400] "GET /Afrodita/xava/editors/js/descriptionsEditor.js?ox=5.8 HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:23 -0400] "GET /Afrodita/xava/editors/js/discussionEditor.js?ox=5.8 HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:23 -0400] "GET /Afrodita/xava/editors/js/elementCollectionEditor.js?ox=5.8 HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:23 -0400] "GET /Afrodita/xava/editors/js/ckeditor.js?ox=5.8 HTTP/1.1" 200 565399
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:23 -0400] "GET /Afrodita/xava/editors/js/htmlEditor.js?ox=5.8 HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:23 -0400] "GET /Afrodita/xava/editors/js/fusioncharts.js?ox=5.8 HTTP/1.1" 200 1007816
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:24 -0400] "GET /Afrodita/xava/editors/js/jquery-ckeditor-adapter.js?ox=5.8 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:24 -0400] "GET /Afrodita/xava/editors/js/textEditor.js?ox=5.8 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:24 -0400] "GET /Afrodita/naviox/images/corner.png HTTP/1.1" 200 276
